Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
328569,Influenza - Avian,;H5N1 HPAI;,9.637838,-13.28907,kalidouah_Wonkifong_Coyah,Guinea,Africa,,2022-06-21T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328552,Influenza - Avian,;H5N1 HPAI;,9.615208,-13.410144,Doneyah_Wonkifon_Coyah,Guinea,Africa,,2022-06-28T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328571,Influenza - Avian,;H5N1 HPAI;,9.373834,-13.214329,Kakoulimayah_Wonkifong_Coyah,Guinea,Africa,,2022-06-22T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328562,Influenza - Avian,;H5N1 HPAI;,9.643895,-13.429318,Sogoyah_Wonkifong_Coyah,Guinea,Africa,,2022-06-20T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328578,Influenza - Avian,;H5N1 HPAI;,9.603345,-13.327988,Maléah_Moribayah_Forecaryah,Guinea,Africa,,2022-06-23T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328564,Influenza - Avian,;H5N1 HPAI;,9.649675,-13.315131,Mangata_Wonkifong_Coyah,Guinea,Africa,,2022-06-21T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
323995,Influenza - Avian,;H5N1 HPAI;,9.64,-13.44,Doneyah,Guinea,Africa,2022-05-10T00:00:00Z,2022-06-03T00:00:00Z,"Domestic,Chicken,",FAO ECTAD RAF,,,Confirmed
328545,Influenza - Avian,;H5N1 HPAI;,9.705013,-13.31839,Kendoumaya_Wonkifong_Coyah,Guinea,Africa,,2022-07-10T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328566,Influenza - Avian,;H5N1 HPAI;,9.628057,-13.360712,Moribayah Centre 2_Forecaryah,Guinea,Africa,,2022-06-21T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
328560,Influenza - Avian,;H5N1 HPAI;,9.37,-13.1626,Kiriyah_Wonkifong_Coyah,Guinea,Africa,,2022-06-20T00:00:00Z,"Domestic,Unspecified bird,",FAO ECTAD RAF,,,Confirmed
