Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status,Cleaned_Species,Last_Word,Habitat
310467,Influenza - Avian,;H5N1 HPAI;,50.5865,7.9995,Stahlhofen am Wiesensee,Germany,Europe,2021-11-09T00:00:00Z,2022-01-06T00:00:00Z,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),NA,NA,Confirmed,Anatidae,anatidae,FW
310463,Influenza - Avian,;H5N1 HPAI;,50.587882,8.031478,Seck,Germany,Europe,2021-11-18T00:00:00Z,2022-01-05T00:00:00Z,"Wild,Ardeidae (unspecified),",WOAH (former OIE),NA,NA,Confirmed,Ardeidae,ardeidae,Other
310468,Influenza - Avian,;H5N1 HPAI;,50.5865,7.9995,Stahlhofen am Wiesensee,Germany,Europe,2021-11-09T00:00:00Z,2022-01-05T00:00:00Z,"Wild,Ardeidae (unspecified),",WOAH (former OIE),NA,NA,Confirmed,Ardeidae,ardeidae,Other
222746,Influenza - Avian,;H5N3 LPAI;,49.05,8.26,Wörth am See,Germany,Europe,2017-01-07T00:00:00Z,2017-01-24T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),NA,NA,Confirmed,"Unspecified bird,","bird,",PO
310464,Influenza - Avian,;H5N1 HPAI;,50.56377,7.726,Herschbach,Germany,Europe,2021-11-18T00:00:00Z,2022-01-05T00:00:00Z,"Wild,Ardeidae (unspecified),",WOAH (former OIE),NA,NA,Confirmed,Ardeidae,ardeidae,Other
224770,Influenza - Avian,;H5N8 HPAI;,49.56,7.06,Sankt Wendel,Germany,Europe,2017-02-24T00:00:00Z,2017-02-28T00:00:00Z,"Wild,Anatidae (unidentified),",WOAH (former OIE),NA,NA,Confirmed,Anatidae,anatidae,FW
348915,Influenza - Avian,;H5N1 HPAI;,49.318,7.304,Kirkel,Germany,Europe,2023-03-09T00:00:00Z,2023-03-15T00:00:00Z,"Wild,Strigidae (unidentified):Strigidae (incognita)(Strigidae),",WOAH (former OIE),NA,NA,Confirmed,Strigidae,strigidae,Other
310974,Influenza - Avian,;H5N1 HPAI;,49.513,6.369,Perl,Germany,Europe,2021-12-30T00:00:00Z,2022-01-11T00:00:00Z,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),NA,NA,Confirmed,Anatidae,anatidae,FW
348916,Influenza - Avian,;H5N1 HPAI;,49.31,7.09,Sulzbach/Saar,Germany,Europe,2023-02-28T00:00:00Z,2023-03-15T00:00:00Z,"Wild,Accipitridae (incognita),",WOAH (former OIE),NA,NA,Confirmed,Accipitridae,accipitridae,TFO
317795,Influenza - Avian,;H5N1 HPAI;,51.252,12.353,Markkleeberg,Germany,Europe,2022-02-16T00:00:00Z,2022-03-30T00:00:00Z,"Wild,Accipitridae (Accipitridae),",WOAH (former OIE),NA,NA,Confirmed,Accipitridae,accipitridae,TFO
293050,Influenza - Avian,;H5N8 HPAI;,50.496732,12.090832,Plauen,Germany,Europe,2021-03-25T00:00:00Z,2021-04-09T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),NA,NA,Confirmed,"Unspecified bird,","bird,",PO
310495,Influenza - Avian,;H5N1 HPAI;,51.253,12.312,Leipzig,Germany,Europe,2021-11-15T00:00:00Z,2022-01-06T00:00:00Z,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),NA,NA,Confirmed,Anatidae,anatidae,FW
375819,Influenza - Avian,;H5N1 HPAI;,51.26,12.4,OB_133166 - 24-015-00132 - MARKKLEEBERG,Germany,Europe,2024-03-07T00:00:00Z,2024-03-15T00:00:00Z,"Wild,Anatidae (incognita),",WOAH (former OIE),NA,NA,Confirmed,Anatidae,anatidae,FW
312471,Influenza - Avian,;H5N1 HPAI;,51.389,13.423,Röderaue,Germany,Europe,2022-01-19T00:00:00Z,2022-02-02T00:00:00Z,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),NA,NA,Confirmed,Anatidae,anatidae,FW
308028,Influenza - Avian,;H5N1 HPAI;,51.4,14.79,Rietschen,Germany,Europe,2021-11-09T00:00:00Z,2021-12-01T00:00:00Z,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),NA,NA,Confirmed,Anatidae,anatidae,FW
376732,Influenza - Avian,;H5N1 HPAI;,51.18,14.41,OB_133560 - SN-24-015-001 - BAUTZEN,Germany,Europe,2024-03-05T00:00:00Z,2024-03-27T00:00:00Z,"Wild,Red Fox,",WOAH (former OIE),NA,NA,Confirmed,Red Fox,fox,MM
376537,Influenza - Avian,;H5N1 HPAI;,51.28,12.34,OB_133402 - 24-015-00145 - LEIPZIG,Germany,Europe,2024-03-15T00:00:00Z,2024-03-22T00:00:00Z,"Wild,Anatidae (incognita),",WOAH (former OIE),NA,NA,Confirmed,Anatidae,anatidae,FW
348912,Influenza - Avian,;H5N1 HPAI;,51.16,13.58,Weinböhla,Germany,Europe,2023-02-03T00:00:00Z,2023-03-15T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),NA,NA,Confirmed,Chicken,chicken,PO
317790,Influenza - Avian,;H5N1 HPAI;,51.009,13.861,Dresden,Germany,Europe,2022-03-10T00:00:00Z,2022-03-30T00:00:00Z,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),NA,NA,Confirmed,Anatidae,anatidae,FW
285514,Influenza - Avian,;H5N8 HPAI;,51.26,12.91,Grimma,Germany,Europe,2020-12-24T00:00:00Z,2020-12-25T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),NA,NA,Confirmed,"Unspecified bird,","bird,",PO
